関係機関一覧（令和４年２月１日現在）,,,,,,,,,,,,,,,,,,,,,,,
区市町村名,ＨＰ,名称,郵便番号,住所,最寄駅,"交通経路
（最寄り駅から徒歩何分か等）",電話番号,"対応可能な
相談内容",支援の実施内容,,,,,,,,,対象年齢,,,,,備考
,,スタジオそら東中野,164-0003,中野区東中野4-27-33 ｴﾑｴｽ東中野ﾋﾞﾙ1階,落合,徒歩5分,03-5989-1915,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,Ｐｕｒ　ａｉｌｅ　新井薬師,164-0002,中野区上高田5-35-9-1階,新井薬師前,徒歩４分,03-5942-7395,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,アプリ児童デイサービス沼袋,165-0025,中野区沼袋2-28-34,沼袋,徒歩8分,03-5942-9451,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,フリップ,164-0011,中野区中央5-46-8福井ﾋﾞﾙ1階,中野,徒歩5分,03-6885-8456,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,発達支援センタージョイナス東中野,164-0003,"中野区東中野1丁目50-2
ｵｸﾄ森ﾋﾞﾙ1階",東中野,徒歩１分,03-6908-8181,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,,,,
,,中野区療育センターゆめなりあ,164-0013,中野区弥生町5-5-2,中野富士見町,徒歩10分,03-6382-4781,発達相談、育児相談、就学相談、生活支援、関係機関紹介等,○,,○,,,○,,,,,○,○,○,,
,,スパークハウス中野,164-0001,中野区中野3丁目-20-2 ｳｲﾝﾄﾞﾊﾞﾚｰ1階,中野,徒歩6分,03-6454-1340,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,Ｃａｔｃｈ　ａｎｄ　Ｓｍｉｌｅ,165-0022,中野区江古田4-7-3金子ﾋﾞﾙ2F,沼袋,徒歩7分,03-5942-7608,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,ｕｏｏｈ！療育ラボ,165-0026,中野区新井1丁目23-22 ﾌﾟﾙﾒﾘｱ202号,新井薬師前,徒歩8分,03-5318-9817,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,発達支援ルームにこっと中野教室,164-0013,中野区弥生町2-40-11-1階,中野新橋,徒歩4分,03-6304-8536,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,,,,
,,アプリ児童デイサービス東中野,164-0003,中野区東中野4-27-26東中野ﾋﾞｭｰﾌﾗｯﾄ2階,落合,徒歩5分,03-5937-4891,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,ｕｏｏｈ！療育ラボ中野野方スタジオ,165-0027,中野区野方6-2-3 駅前北口ビル2階,野方,徒歩1分,03-5327-8626,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,TASUC中野坂上教室,164-0013,中野区弥生町1-8-11 東京計量器中野坂上ビル2階,中野坂上,徒歩7分,03-6273-9436,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,ブロックあいだっく,165-0027,中野区野方5-28-1 エクセルシオール野方1-201,野方,徒歩1分,03-6383-0850,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,ぽけっとキッズ,165-0026,中野区新井2-50-6 T-Lotus1階,中野,徒歩15分,03-6383-0850,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,,ドレミファソライズFC中野,165-0022,中野区江古田2-12-13 サンエスピア1階,沼袋,徒歩15分,03-6318-7407,発達相談、生活支援、関係機関紹介等,,,○,,,○,,,,,○,○,○,,
,"教育関係
※教育相談所含む",中野特別支援学校,164-0014,中野区南台3-46-20,方南町,徒歩7分,03-3384-7741,,○,,,,○,,,,,,○,○,○,,
,,練馬特別支援学校,179-0075,練馬区高松6-17-1,光が丘,徒歩20分,03-5393-3524,,○,,,,○,,,,,,○,○,○,,
,,永福学園,168-0064,杉並区永福1-7-28,明大前,徒歩8分,03-3323-1380,,○,,,,○,,,,,,○,○,○,,
,相談支援事業所,中部すこやか障害者相談支援事業所,164-0011,中野区中央3-19-1,新中野,徒歩10分,03-3367-7810,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,北部すこやか障害者相談支援事業所,165-0022,中野区江古田4-31-10,沼袋,徒歩10分,03-5942-5800,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,鷺宮すこやか障害者相談支援事業所,165-0033,中野区若宮3-58-10,鷺宮,徒歩5分,03-6265-5770,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,南部すこやか障害者相談支援事業所（みなみらいず内）,164-0013,中野区弥生町5-11-26,中野富士見町,徒歩5分,03-5340-7888,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,まっしろキャンバス,165-0027,中野区野方5-28-1 ｴｸｾﾙｼｵｰﾙ野方1-102,野方,徒歩１分,03-6821-7530,発達相談、生活支援、関係機関紹介等,○,,,,,,○,,○,○,○,○,○,○,
,,相談支援事業所あいだっく,164-0012,中野区本町3-19-11 ﾗｲﾌﾋﾟｱﾊﾗ1階,中野新橋,徒歩５分,03-6276-3903,発達相談、生活支援、関係機関紹介等,○,,,,,○,,,,○,○,○,○,○,
,,中野区療育センターゆめなりあ,164-0013,中野区弥生町5-5-2,中野富士見町,徒歩10分,03-6382-4781,発達相談、生活支援、関係機関紹介等,○,,,,,○,,,,○,○,○,○,○,
,,中野区立療育センターアポロ園,165-0022,中野区江古田4-43-25,沼袋,徒歩15分,03-3389-3700,発達相談、生活支援、関係機関紹介等,○,,,,,○,,,,○,○,○,○,○,
,,ふらっとなかの,164-0012,中野区本町5-40-14,中野富士見町,徒歩５分,03-6805-6580,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,なごみ相談支援事業所,165-0027,中野区野方1-29-4 1階,中野,徒歩15分,03-6383-3189,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,日本リック相談支援りんく野方,165-0027,中野区野方5-29-10 アネックスノガタ1階,野方,徒歩1分,03-5356-9306,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,,相談支援事業所虹の木,164-0003,中野区東中野4-4-5 東中野アパートメンツ515号室,東中野,徒歩1分,03-6279-2393,発達相談、生活支援、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,自立訓練事業所,翔和学園大学部（自立訓練）,164-0011,"中野区中央1-38-1
ｱｸﾛｽｼﾃｨ中野坂上ﾋﾞﾙ",中野坂上,徒歩5分,03-5338-0338,生活支援、関係機関紹介等,,,,,,○,,,,,,,,○,
,,ワーカライズ　ニコ,165-0026,中野区新井2-8-13,中野,徒歩10分,03-3388-2941,生活支援、関係機関紹介等,,,,,,○,,,,,,,,○,
,,ワークステーションＪａｄｅ中野,165-0027,中野区野方４－１９－１グランデ６３４　2階、3階,野方駅,徒歩1分,03-5937-0483,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,就労移行支援事業所,コロニー中野,165-0023,中野区江原町2-6-7,新江古田,徒歩5分,03-3953-3541,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ワークセンター翔和,164-0011,"中野区中央1-38-1
ｱｸﾛｽｼﾃｨ中野坂上ﾋﾞﾙ",中野坂上,徒歩5分,03-5338-0338,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,仲町就労支援事業所,164-0011,中野区中央3-19-1,新中野,徒歩10分,03-3360-1571,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,弥生福祉作業所,164-0013,中野区弥生町4-36-15,中野富士見町,徒歩5分,03-3384-2939,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ステッツ中野,164-0001,中野区中野4-7-1 野口ﾋﾞﾙ3階,中野,徒歩7分,03-5942-8931,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,にじ中野坂上,164-0012,中野区本町2-45-13 山手ﾋﾞﾙ6階,中野坂上,徒歩2分,03-6276-8663,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ワークステーションＪａｄｅ中野,165-0027,中野区野方４－１９－１グランデ６３４　2階、3階,野方駅,徒歩1分,03-5937-0483,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ワーカライズ　ニコ,165-0026,中野区新井2-8-13,中野,徒歩10分,03-3388-2941,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,コロニーもみじやま支援センター,164-0001,中野区中野5-3-32,中野,徒歩12分,,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ディーキャリアＩＴエキスパート　中野オフィス,164-0001,中野区中野4-7-2 SHﾋﾞﾙ3階,中野,徒歩8分,03-6454-0427,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,就労継続支援事業所（A型）,コロニー中野,165-0023,中野区江原町2-6-7,新江古田,徒歩5分,03-3953-3541,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ワクわーく,165-0035,中野区白鷺一丁目30番6号 深澤ﾋﾞﾙ4階,鷺宮,徒歩１分,03-5356-7371,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,就労継続支援事業所（B型）,コロニー中野,165-0023,中野区江原町2-6-7,新江古田,徒歩5分,03-3953-3541,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,杉の子大和,165-0034,中野区大和町3-18-2,高円寺,徒歩10分,03-3336-6294,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,杉の子城山,164-0001,中野区中野1-6-12,中野坂上,徒歩15分,03-3364-5381,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,杉の子弥生,164-0013,中野区弥生町2-5-11,中野新橋,徒歩10分,03-3373-1236,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,杉の子丸山,165-0021,中野区丸山1-4-5,野方,徒歩8分,03-3385-8565,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,カサ　デ　オリーバ,164-0012,中野区本町5-35-9,新中野,徒歩5分,03-5340-8898,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,あとりえふぁんとむ,164-0003,"中野区東中野4-2-2
篠木ﾋﾞﾙ2階3階",東中野,徒歩3分,03-3360-3517,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,すばるカンパニー,165-0033,中野区若宮1-54-15,野方,徒歩5分,03-3339-6541,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,仲町就労支援事業所,164-0011,中野区中央3-19-1,新中野,徒歩10分,03-3360-1571,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,弥生福祉作業所,164-0013,中野区弥生町4-36-15,中野富士見町,徒歩10分,03-3384-2939,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,ワークセンター翔和,164-0011,"中野区中央1-38-1
ｱｸﾛｽｼﾃｨ中野坂上ﾋﾞﾙ",中野坂上,徒歩5分,03-5338-0338,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,,コロニーもみじやま支援センター,164-0001,中野区中野5-3-32,中野,徒歩12分,,生活支援、関係機関紹介等,,,,,○,○,,,,,,,,○,
,就労支援センター,中野区障害者福祉事業団,165-0026,中野区新井2-8-13,中野,徒歩10分,03-3388-2941,生活支援、関係機関紹介等,○,,,,○,○,,,,,,,,○,
,地域活動支援センター,中野区精神障害者地域生活支援センター（せせらぎ）,164-0001,中野区中野5-68-7ｽﾏｲﾙなかの6F,中野,徒歩5分,03-3387-1326,精神保健相談、生活支援、関係機関紹介等,○,,,,,○,,,,,,,,○,
,その他関係機関,中野区障害者地域自立生活支援センター（つむぎ）,164-0001,中野区中野5-68-7ｽﾏｲﾙなかの4F,中野,徒歩5分,03-3389-2375,発達相談、生活支援、関係機関紹介等,○,,,,,○,○,,,○,○,○,○,○,
,福祉事務所,杉並福祉事務所荻窪事務所,167-0032,杉並区天沼3-19-16ｳｪﾙﾌｧｰﾑ杉並2階,ＪＲ　荻窪駅,８分,03-3398-9104,生活支援,,,,,,,,,○,,,,,,
,,高円寺事務所,166-0003,杉並区高円寺南2-24-18,丸ノ内線　新高円寺駅,６分,03-5306-2611,生活支援,,,,,,,,,○,,,,,,
,,高井戸事務所,168-0072,杉並区高井戸東3-26-10,井の頭線　高井戸駅,４分,03-3332-7221,生活支援,,,,,,,,,○,,,,,,
,,荻窪保健センター,167-0051,杉並区荻窪5-20-1,JR・東京メトロ丸ノ内線　荻窪駅,徒歩５分,03-3391-0015,育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,,高井戸保健センター,168-0072,杉並区高井戸東3-20-3,井の頭線　高井戸駅,徒歩10分,03-3334-4304,育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,,高円寺保健センター,166-0003,杉並区高円寺南3-24-15,ＪＲ　高円寺駅,徒歩10分,03-3311-0116,育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,,上井草保健センター,167-0023,杉並区上井草3-8-19,西武新宿線　上井草駅,徒歩15分,03-3394-1212,育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,,和泉保健センター,168-0063,杉並区和泉4-50-6,東京メトロ丸ノ内線　方南町駅,徒歩3分,03-3313-9331,育児相談、精神保健相談,○,○,,,,,,,,○,○,○,○,○,
,子ども家庭支援センター,杉並子ども家庭支援センター,166-0004,杉並区阿佐谷南1-14-8,丸ノ内線　南阿佐ヶ谷駅                                                  ＪＲ阿佐ヶ谷駅,2分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　8分,03-5929-1901,育児相談,○,,,,,,,,,○,○,○,○,,
,,高円寺子ども家庭支援センター,166-0003,"杉並区高円寺南３-３１-３
２階","丸の内線新高円寺駅
JR高円寺駅",７分,03-3315-2800,育児相談,○,,,,,,,,,○,○,○,○,,
,児童発達支援センター,杉並区立こども発達センター,168-0072,杉並区高井戸東1-18-5,井の頭線　高井戸駅,5分,03-5317-5661,発達相談,○,,○,○,,,○,○,,○,,,,,
,教育関係,杉並区教育委員会事務局特別支援教育課,166-0016,杉並区成田西2-24-21 就学前教育支援ｾﾝﾀｰ内,関東バス「豊多摩高校」下車,１分,03-5929-9481,就学相談,○,○,○,,,,,,,○,○,○,,,
,相談支援事業所,杉並区障害者地域相談支援センター荻窪（すまいる荻窪）,167-0051,杉並区荻窪5-20-1 杉並保健所2階,JR荻窪駅,5分,03-3391-1976,生活相談,○,,,,,,,,,,,,,○,
,,杉並区障害者地域相談支援センター高円寺（すまいる高円寺）,166-0003,杉並区高円寺南2-24-18 杉並福祉事務所高円寺事務所4階 ,JR高円寺駅,８分,03-5306-6381,生活相談,○,,,,,,,,,,,,,○,
,,杉並区障害者地域相談支援センター高井戸（すまいる高井戸）,168-0072,杉並区高井戸東4-10-5 杉並障害者福祉会館3階,バス　荻窪駅南口⇔芦花公園駅入口経由北野「柳窪」下車,３分,03-3331-2510,生活相談,○,,,,,,,,,,,,,○,
,区市町村障害者就労支援センター,公益財団法人　杉並区障害者雇用支援事業団　ワークサポート杉並,168-0072,杉並区高井戸東4-10-26,バス　荻窪駅南口⇒芦花公園駅入口行き又は北野行き「柳窪」下車,２分,03-5346-3250,就労支援,,,,,○,,,,,,,,,○,
豊島区,障害福祉主管課,"障害福祉課　
発達障害者相談グループ",171-8422,豊島区南池袋2-45-1,東池袋,地下通路で直結（改札から徒歩3分）,03-4566-2445,発達相談,○,,,,,,○,,○,○,○,○,○,○,
,就労支援機関,"障害福祉課　
施設・就労支援グループ",171-8422,豊島区南池袋2-45-1,東池袋,地下通路で直結（改札から徒歩3分）,03-3985-8330,就労相談,,,,,○,○,,,,,,,,○,
,保健所・保健センター,池袋保健所,170-0013,豊島区東池袋4-42-16,東池袋,徒歩5分,03-3987-4174,子どもの健康・発育・発達に関する相談、精神保健相談,○,○,,,,,,,,○,,,,○,
,保健所・保健センター,長崎健康相談所,171-0051,豊島区長崎2-27-18,椎名町,徒歩5分,03-3957-1191,子どもの健康・発育・発達に関する相談、精神保健相談,○,○,,,,,,,,○,,,,○,
,子供家庭支援センター,東部子ども家庭支援センター,170-0012,豊島区上池袋2-35-22,北池袋,徒歩10分,03-5980-5275,家庭の総合相談・育児相談・発達相談,○,○,,○,,,,,,○,○,○,○,,
,,西部子ども家庭支援センター,171-0044,豊島区千早4-6-14,千川,徒歩15分,03-5966-3131,家庭の総合相談・育児相談・発達相談,○,○,○,,,,,,,○,○,○,○,,
,児童発達支援（センター以外）,西部子ども家庭支援センター,171-0044,豊島区千早4-6-14,千川,徒歩15分,03-5966-3131,発達相談,○,○,○,,,,○,,,○,,,,,
,"教育関係
※教育相談所含む",教育センター,171-0032 ,豊島区雑司が谷3-1-7,雑司が谷,直結,03-3590-6746,就学相談・教育相談・学校巡回指導,○,,,○,,,,,,,○,○,○,,
北区,障害福祉主管課,障害福祉課王子障害相談係,114-8508,北区王子本町1-15-22,ＪＲ王子駅,徒歩5分,03-3908-1358,障害福祉サービス利用に関する相談,○,,,,,,,,,○,○,○,○,○,
,,障害福祉課赤羽障害相談係,115-0044,北区赤羽南1-13-1,ＪＲ赤羽駅,徒歩5分,03-3903-4161,障害福祉サービス利用に関する相談,○,,,,,,,,,○,○,○,○,○,
,,滝野川地域障害者相談支援センター,114-0024,北区西ケ原4-51-1,都電西ヶ原四丁目駅,徒歩5分,03-4334-6548,障害福祉サービス利用に関する相談,○,,,,,,,,,○,○,○,○,○,
,保健所・保健センター,健康推進課王子健康支援センター,115-0044,北区赤羽南1-13-1,ＪＲ赤羽駅,徒歩5分,03-3919-7588,育児相談・発達相談・関係機関紹介,○,○,○,,,,,,,○,,,,○,令和3年9月1日～当面の間一時移転
,,健康推進課赤羽健康支援センター,115-0044,北区赤羽南1-13-1,ＪＲ赤羽駅,徒歩5分,03-3903-6481,育児相談・発達相談・関係機関紹介,○,○,○,,,,,,,○,,,,○,
,,健康推進課滝野川健康支援センター,114-0024,北区西ｹ原1-19-12,ＪＲ上中里駅,徒歩7分,03-3915-0184,育児相談・発達相談・関係機関紹介,○,○,○,,,,,,,○,,,,○,
,子供家庭支援センター,子ども家庭支援センター,114-0002,北区王子6-7-3,"東京メトロ南北線　王子神谷駅
ＪＲ王子駅
","徒歩10分
　　　　　　　　　　　　　　　　　　　　　
徒歩20分
",03-3914-9565,育児相談、関係機関紹介等,○,,,,,,,,,○,○,○,○,,
,その他関係機関,北区立児童発達支援センター,114-0002,北区王子6-7-3,"東京メトロ南北線　王子神谷駅
ＪＲ王子駅
","徒歩10分
　　　　　　　　　　　　　　　　　　　　　
徒歩20分
",03-3913-8841,発達相談・関係機関紹介,○,○,○,○,,,○,○,,○,○,○,○,,
,"
教育関係※教育相談所含む
",教育総合相談センター,114-8546,北区滝野川2-52-10,ＪＲ王子駅,徒歩10分,03-3908-1326,教育相談,○,○,,,,,,,,○,○,○,○,,
,,,114-8546,北区滝野川2-52-10,ＪＲ王子駅,徒歩10分,03-3908-1237,就学（転学）相談,○,,,,,,,,,○,○,○,,,
,就労支援センター,就労支援センター北（身体・知的）,114-0034,北区上十条2-1-12,ＪＲ十条駅,徒歩5分,03-3906-7753,就労支援,,,,,○,,,,,,,,,○,
,,就労支援センター北（精神）,115-0044,北区赤羽南2-6-6,ＪＲ赤羽駅,徒歩5分,03-3598-3337,就労支援,,,,,○,,,,,,,,,○,
,地域活動支援センター,障害者地域活動支援室「支援センターきらきら」,114-0032,北区中十条1-2-18,ＪＲ王子駅,徒歩10分,03-3905-7201,生活相談・生活支援,○,,,,,○,,,,,,,,○,
,その他関係機関,障害者基幹相談支援センター,114-0032,北区中十条1-2-18,ＪＲ王子駅,徒歩10分,03-3905-7226,発達相談,○,,,,,,,,,,,,,○,
荒川区,障害福祉主管課,障害者福祉課こころの健康推進係,116-8501,荒川区荒川2-2-3,JR三河島、東京メトロ千代田線町屋、都電荒川線荒川二丁目,"JR三河島駅 徒歩15分 
東京メトロ千代田線 町屋駅 徒歩15分 
都電荒川線 荒川二丁目駅 徒歩4分","03-3802-3111
(内線2695)",保健相談、生活支援、就労支援、関係機関紹介等,○,,,,○,,,,○,○,○,○,○,○,
,保健所・保健センター,健康推進課保健相談担当,116-8502,荒川区荒川2-11-1,JR三河島、東京メトロ千代田線町屋、都電荒川線荒川二丁目,"JR三河島駅 徒歩15分 
東京メトロ千代田線 町屋駅 徒歩15分 
都電荒川線 荒川二丁目駅 徒歩4分","03-3802-3111
(内線432)",保健相談、生活支援、発達相談、育児相談、精神保健相談、栄養相談、歯科相談,○,○,○,○,○,,○,,,○,○,○,○,○,
,児童福祉主管課,子育て支援課,116-8501,荒川区荒川2-2-3,JR三河島、東京メトロ千代田線町屋、都電荒川線荒川二丁目,"JR三河島駅 徒歩15分 
東京メトロ千代田線 町屋駅 徒歩15分 
都電荒川線 荒川二丁目駅 徒歩4分","03-3802-3111
(内線3811)",関係機関紹介,○,,,,,,,,,○,○,○,○,,
,児童相談所,荒川区子ども家庭総合センター,116-0002,荒川区荒川1-50-17,JR三河島駅,駅から徒歩9分,03-3802-3765,子どもと家庭、子育てに関する総合相談,○,,,,,,,,○,○,○,○,○,,
,児童発達支援（センター以外）,荒川区立心身障害者福祉センター（荒川たんぽぽセンター）,116-0002,荒川区荒川1-53-20,JR三河島駅,駅から徒歩7分,"03-3891-6824
03-3891-6825",発達相談・関係機関紹介,○,,○,,,,〇,,,○,○,○,○,,
,"教育関係
※教育相談所含む","教育センター
特別支援教育係",116-0002,荒川区荒川3-49-1,JR三河島駅、都バス荒川三丁目バス停,JR常磐線三河島駅徒歩5分、都ﾊﾞｽ荒川三丁目ﾊﾞｽ停から徒歩3分,03-3801-4590,就学相談、関係機関紹介等,○,,,,,,,,,,○,○,,,
,,"教育センター
教育相談室",116-0002,荒川区荒川3-49-1,JR三河島駅、都バス荒川三丁目バス停,JR常磐線三河島駅徒歩5分、都ﾊﾞｽ荒川三丁目ﾊﾞｽ停から徒歩3分,03-3801-4338,教育相談、関係機関紹介,○,,,,,,,,,○,○,○,,,"
乳幼児は幼児のみ対象
"
,就労支援センター,荒川区障害者就労支援センター（じょぶ・あらかわ）,116-0003,荒川区南千住1-13-20(荒川区社会福祉協議会内),都電荒川線三ノ輪橋、東京メトロ日比谷線三ノ輪,都電荒川線三ノ輪橋から徒歩1分、東京メトロ日比谷線三ノ輪3番出口から徒歩5分,03-3803-4510,生活支援、就労支援、関係機関紹介等,○,,,,○,,,,○,,,,,○,
,地域活動支援センター,荒川区立心身障害者福祉センター（荒川たんぽぽセンター）,116-0002,荒川区荒川1-53-20,JR三河島駅,駅から徒歩7分,"03-3891-6824
03-3891-6825",関係機関紹介,○,,,,,,,,,,,,,○,
,子ども家庭支援センター,板橋区子ども家庭支援センター,173-0015,板橋区栄町36番1号板橋区立ｸﾞﾘｰﾝﾎｰﾙ内,"東武東上線大山
都営三田線板橋区役所前",各徒歩5分,03-3579-2656,子ども（18歳未満）に関する相談全般,○,,,,,,,,,○,○,○,○（18歳まで）,,"

令和４年４月開設（組織改正）
区分：子ども家庭支援センター、児童相談所（令和4年7月より始動）
名称：子ども家庭総合支援センター
郵便番号：173-0001
住所：板橋区本町24-17
最寄り駅：都営三田線 板橋本町
交通経路：徒歩7分
電話番号：03-5944-2373


"
,児童発達支援センター,板橋区立加賀福祉園,173-0003,板橋区加賀1-7-2,"都営三田線板橋区役所前
JR埼京線板橋","徒歩14分
徒歩15分",03-3962-5579,"発達相談
育児相談
関係機関紹介",○,,○,,,,,,通園療育,○,,,,,
,,教育支援センター　学校相談,173-8501,板橋区板橋2-66-1,都営三田線板橋区役所前,徒歩1分,03-3579-2199,学校相談（区立小中学校に関すること）,○,,,,,,,,,,○,○,,,
,,教育支援センター　特別支援教育相談,173-8501,板橋区板橋2-66-1,都営三田線板橋区役所前,徒歩1分,03-3579-2198,就学・転学相談,○,,,,,,,,,○（年長児）,○,○,,,
,,教育支援センター　心理・言語専門相談,173-8501,板橋区板橋2-66-1,都営三田線板橋区役所前,徒歩1分,03-3579-2197,教育相談（不登校、精神、発達、行動、性格、身体、学業、進路、言語発達に関すること）,○,,,,,,,,,○(年少児相当),○,○,○,,※言語専門相談は未就学児対象
,,教育支援センター　成増教育相談室,175-0094,板橋区成増1-12-4,"東武東上線成増
東京メトロ有楽町線地下鉄成増","徒歩5分
徒歩7分",03-3975-9693,教育相談（不登校、精神、発達、行動、性格、身体、学業、進路、に関すること）,○,,,,,,,,,○(年少児相当),○,○,○,,
,,板橋フレンドセンター,174-0062,板橋区富士見町3-1,"都営三田線板橋本町
東武東上線中板橋","徒歩8分
徒歩15分",03-3961-2500,不登校相談、フレンドセンター通級相談,○,,,,,,,,,,○,○,,,
,相談支援事業所,板橋区立障がい者福祉センター,175-0082,板橋区高島平9-25-12,都営三田線高島平・西台,各徒歩12分,03-6906-5721,日常生活全般、ピアカウンセリング、専門医（リハ、精神、内科）、指定特定相談、指定一般相談,○,,,,,,,○,,,,,,,
,地域活動支援センター,板橋区立障がい者福祉センター,175-0082,板橋区高島平9-25-12,都営三田線高島平・西台,各徒歩12分,03-3550-3401,機能訓練、社会適応訓練,,,,,,○,○,○,,,,,,,
,保健所・保健センター,豊玉保健相談所,176-0012,"練馬区豊玉北5-15-19
豊玉すこやかｾﾝﾀｰ内",西武池袋線練馬駅,徒歩3分,03-3992-1188,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,,北保健相談所,179-0081,練馬区北町6-35-7　,東京メトロ平和台駅,徒歩7分,03-3931-1347,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,,光が丘保健相談所,179-0072,"練馬区光が丘2-9-6 
光が丘区民ｾﾝﾀｰ内",都営大江戸線光が丘駅,徒歩1分,03-5997-7722,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,,石神井保健相談所,177-0041,練馬区石神井町7-3-28,西武池袋線石神井公園駅,徒歩7分,03-3996-0634,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,,大泉保健相談所,178-0061,練馬区大泉学園町5-8-8,西武池袋線大泉学園駅,ﾊﾞｽ「大泉郵便局」下車徒歩3分,03-3921-0217,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,,関保健相談所,177-0052,練馬区関町東1-27-4,西武新宿線武蔵関駅,徒歩7分,03-3929-5381,発達相談、育児相談、精神保健相談、関係機関紹介,○,○,○,,,,○,,,○,,,,○,
,児童発達支援センター,こども発達支援センター,179-0072,練馬区光が丘3-1-1,大江戸線光が丘駅,徒歩10分,03-3975-6251,発達相談・通所訓練,○,○,○,,,,○,○,,○,○,○,○,,
,放課後等デイサービス,こども発達支援センター,179-0072,練馬区光が丘3-1-1,大江戸線光が丘駅,徒歩10分,03-3975-6251,発達相談・通所訓練,○,,○,,,,,,,,○,○,○,,
,相談支援事業所,豊玉障害者地域生活支援センター＜きらら＞,176-0012,"練馬区豊玉北5-15-19 
豊玉すこやかｾﾝﾀｰ6F",西武池袋線、都営大江戸線練馬駅,徒歩5分,03-3557-9222,ｻｰﾋﾞｽ利用、その他地域生活に関すること,○,,,,,,,,,,,,,○,
